trade_date,open,high,low,close,vol,pre_close
2023-01-09,106.7,107.29,105.01,106.37,48271.85,106.3
2023-01-10,106.58,107.5,105.19,106.89,36189.71,106.37
2023-01-11,107.27,107.87,104.39,105.95,42101.09,106.89
2023-01-12,105.37,106.53,103.6,103.93,31750.77,105.95
2023-01-13,104.72,110.11,104.07,109.22,57157.55,103.93
2023-01-16,109.89,112.14,109.01,109.79,56988.51,109.22
2023-01-17,109.22,110.29,107.55,109.33,34677.81,109.79
2023-01-18,109.22,109.7,105.86,106.16,41072.53,109.33
2023-01-19,105.76,106.15,104.5,105.3,30687.08,106.16
2023-01-20,105.3,106.28,104.36,105.16,29232.25,105.3
2023-01-30,105.9,106.62,103.8,104.28,56848.24,105.16
2023-01-31,104.67,104.67,101.0,101.04,48147.18,104.28
2023-02-01,101.04,104.5,101.04,103.99,50648.69,101.04
2023-02-02,104.0,105.89,103.6,105.18,42812.47,103.99
2023-02-03,104.58,105.28,102.02,104.09,32291.74,105.18
2023-02-06,102.85,103.71,101.85,101.93,42895.62,104.09
2023-02-07,102.5,103.5,101.68,102.21,25783.96,101.93
2023-02-08,102.72,103.14,100.08,100.73,34248.92,102.21
2023-02-09,100.77,103.43,100.77,101.82,46409.46,100.73
2023-02-10,101.9,102.86,100.85,102.28,33848.94,101.82
2023-02-13,101.8,106.86,101.33,104.6,90548.55,102.28
2023-02-14,104.59,106.46,103.67,105.44,38180.35,104.6
2023-02-15,105.44,108.6,105.04,105.78,52349.99,105.44
2023-02-16,106.0,110.94,105.3,108.55,84288.58,105.78
2023-02-17,107.68,109.5,106.8,107.23,36942.63,108.55
2023-02-20,106.41,108.49,105.0,107.7,45881.65,107.23
2023-02-21,108.0,108.4,105.55,106.55,36758.15,107.7
2023-02-22,106.3,107.9,105.35,106.73,30170.32,106.55
2023-02-23,106.81,107.6,104.86,105.68,30788.85,106.73
2023-02-24,105.03,105.18,102.5,103.31,43229.22,105.68
2023-02-27,103.41,108.9,102.0,108.19,76474.92,103.31
2023-02-28,107.87,112.22,106.78,111.48,99022.12,108.19
2023-03-01,113.14,113.65,110.13,112.3,70788.52,111.48
2023-03-02,112.84,114.44,112.03,112.88,50633.26,112.3
2023-03-03,113.0,115.48,112.0,113.2,48904.01,112.88
2023-03-06,113.79,115.0,111.6,114.09,42904.47,113.2
2023-03-07,114.0,116.68,113.8,114.9,70646.9,114.09
2023-03-08,114.19,114.59,111.98,113.7,38968.25,114.9
2023-03-09,113.7,114.53,110.6,112.0,54767.46,113.7
2023-03-10,111.45,112.5,110.18,110.52,31278.79,112.0
2023-03-13,110.76,114.2,110.01,113.43,40070.15,110.52
2023-03-14,113.8,114.95,113.1,113.44,41139.0,113.43
2023-03-15,114.13,114.57,111.88,112.42,46143.9,113.44
2023-03-16,112.1,112.65,110.14,110.96,34668.55,112.42
2023-03-17,111.59,111.8,108.1,108.29,36911.63,110.96
2023-03-20,108.79,108.8,104.5,106.0,59927.17,108.29
2023-03-21,106.73,108.67,106.07,107.48,47638.17,106.0
2023-03-22,107.72,111.26,107.46,108.69,38484.87,107.48
2023-03-23,110.98,111.3,106.72,110.02,56165.47,108.69
2023-03-24,111.11,113.7,109.4,112.31,63081.13,110.02
2023-03-27,112.31,112.82,109.63,110.81,32042.25,112.31
2023-03-28,111.34,112.88,110.76,112.69,45414.11,110.81
2023-03-29,112.98,116.55,112.01,115.99,59520.91,112.69
2023-03-30,115.29,120.68,115.11,119.8,72960.42,115.99
2023-03-31,120.08,122.44,119.51,120.6,58535.29,119.8
2023-04-03,119.98,120.25,117.65,118.79,56298.69,120.6
2023-04-04,118.78,123.18,118.18,122.03,66277.59,118.79
2023-04-06,122.02,123.0,120.3,122.05,30904.76,122.03
